Timestamp,Did you pass your May '23 Level II exam? ,What other designations have you obtained or are actively pursuing?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask questions on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision/review)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask question on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What is your age?,Is English your first language?,To what capacity did you utilize r/CFA?,Has your success in the CFA Level 1 helped your career so far?,How many years of professional investment-related experience do you have?,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Any feedback?
7/7/2023 20:18:40,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",68,,,3,Between 400 and 450 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI Physical Books, Kaplan Schweser Books, UWorld QBank, AnalystForum, IFT",No,Yes,3 months prior,1 month prior,Yes,7,Derivatives,Fixed Income,Financial Reporting & Analysis,Equity Investments,"Finish the curriculum earlier, Spend more time on review",5,4,5,5,2,3,4,3,I want to improve my professional marketability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",0-1,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 20:59:09,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related), MBA",,68,,4,Between 250 and 300 hours,Full-Time Work,"Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce",No,No,5 months prior,1.5 months prior,Yes,3,Quantitative Methods,Derivatives,Fixed Income,Financial Reporting & Analysis,"Do more practice questions, Take more mock exams",5,3,3,1,2,5,5,1,My employer is encouraging me to pursue the CFA exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,Not at all,It has had no impact on my career so far,2-3,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 21:21:01,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",73,,65,4,Between 400 and 450 hours,Part-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid)",No,Yes,7 months prior,1.5 months prior,Yes,4,Derivatives,Fixed Income,Financial Reporting & Analysis,Quantitative Methods,"Finish the curriculum earlier, Spend more time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,4,5,4,2,4,4,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,User - I come here to see if there is help,"Yes, it has moderately helped",3-5,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 22:17:32,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",67,,,3,Between 400 and 450 hours,Student,"CFAI Mocks, CFAI QBank, Kaplan Schweser Books, Tutor",No,Yes,8 months prior,2.5 months prior,Yes,2,Ethics,Portfolio Management,Derivatives,Financial Reporting & Analysis,"Take more mock exams, Finish the curriculum earlier, Spend more time on review",5,2,5,5,5,2,1,3,I want to improve my professional marketability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,0,Below 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 22:46:18,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",71,,,3,Between 150 and 200 hours,Part-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Kaplan Schweser QBank, Kaplan Schweser Books",Yes,Yes,2 months prior,I chose not to read or study the curriculum,Yes,4,Ethics,Fixed Income,Quantitative Methods,Portfolio Management,"Do more practice questions, Take more mock exams, Other",5,5,3,3,3,2,1,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,No,Contributor - I comment and help others if I can,"Yes, it has moderately helped",0,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 22:58:13,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related), MS in Finance",63,63,,3,Between 400 and 450 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Videos",No,Yes,5 months prior,1.5 months prior,Yes,3,Derivatives,Financial Reporting & Analysis,Quantitative Methods,Equity Investments,"Do more practice questions, Finish the curriculum earlier, Start preparing for the exam earlier",5,4,4,5,3,5,,,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,User - I come here to see if there is help,"Yes, I have leveraged it into finding a job",1-2,Above 70%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,,Above 70%,Above 70%,Below 50%,Above 70%,,,,,,,,,,,
7/7/2023 23:15:24,Yes,"CFP, CPWA","Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related), Associates Degree",69,,64,3,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",No,No,5 months prior,1 month prior,No,5,Financial Reporting & Analysis,Quantitative Methods,Derivatives,Portfolio Management,"Do more practice questions, Finish the curriculum earlier, Spend more time on review, Start preparing for the exam earlier, Write more notes, Practice spaced repetition (flashcards, coming back to topics often)",5,2,4,4,1,4,3,3,"I want to improve my professional marketability, I want to challenge myself, I want a higher salary, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,Contributor - I comment and help others if I can,"Yes, I have leveraged it into finding a job",5-7,Above 70%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,Thank you for taking the time to put this together. I hope it can be used as a guideline for others seeking help in a more streamlined fashion. 
7/7/2023 23:24:23,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,,,4,Between 300 and 350 hours,Full-Time Work,"CFAI QBank, IFT",No,No,4 months prior,1 month prior,No,0,Quantitative Methods,Derivatives,Financial Reporting & Analysis,Alternative Investments,"Do more practice questions, Finish the curriculum earlier, Spend more time on review",5,2,5,5,1,5,4,1,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Not at all,"Yes, I have leveraged it into finding a job",3-5,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 23:25:09,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",57,,,4,Between 350 and 400 hours,Student,"CFAI Mocks, CFAI QBank, CFAI Physical Books, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Study Group (outside of Discord), 300hours.com, Tutor",Yes,Yes,6 months prior,1.5 months prior,Yes,2,Derivatives,Economics,Financial Reporting & Analysis,Quantitative Methods,"Do more practice questions, Spend more time on review, Spend more time on formulas, Start preparing for the exam earlier, Write more notes, Practice spaced repetition (flashcards, coming back to topics often)",5,5,5,5,5,5,5,5,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,0,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 23:49:18,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",60,,75,3,Between 450 and 500 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), AnalystForum",No,No,6 months prior,4.5 months prior,Yes,3,Financial Reporting & Analysis,Economics,Quantitative Methods,Corporate Issuers,"Finish the curriculum earlier, Spend more time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,5,5,5,2,3,5,1,"I want to improve my professional marketability, I want to change careers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, I have leveraged it into finding a job",2-3,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 23:52:02,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",72,,,2,Between 250 and 300 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",No,Yes,5 months prior,0.5 month prior,No,2,Derivatives,Quantitative Methods,Financial Reporting & Analysis,Portfolio Management,"Do more practice questions, Finish the curriculum earlier, Finish the curriculum later, Spend more time on formulas, Practice spaced repetition (flashcards, coming back to topics often)",5,5,3,2,2,3,3,4,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,I practically lived there,"Yes, I have leveraged it into finding a job",3-5,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Below 50%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 0:16:10,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",98,98,,5,Between 250 and 300 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Kaplan Schweser Mocks",No,No,5 months prior,1 month prior,Yes,4,Alternative Investments,Derivatives,Portfolio Management,Corporate Issuers,I do not believe I could have done anything specific to improve my score,3,5,4,4,1,4,3,1,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to change careers, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Not at all,"Yes, it has moderately helped",0,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,"For the resource part, you may add the e learning system offered by the CFA Institute. I mainly use it, which include the books, practice problems, and mock exams."
7/8/2023 1:39:43,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",64,,,4,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, ChatGPT, Wiley Mocks, Other",No,No,3 months prior,1 month prior,Yes,3,Fixed Income,Quantitative Methods,Financial Reporting & Analysis,Portfolio Management,"Do more practice questions, Start preparing for the exam earlier, I do not believe I could have done anything specific to improve my score",3,3,3,4,1,3,3,3,"I want to improve my professional marketability, I want to change careers, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,Contributor - I comment and help others if I can,It has had no impact on my career so far,0,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/8/2023 2:29:50,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",85,,,4,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI Physical Books, UWorld QBank",No,Yes,8 months prior,3 months prior,Yes,4,Financial Reporting & Analysis,Derivatives,Fixed Income,Economics,"Do more practice questions, Spend more time on formulas, Write more notes",4,5,5,4,2,4,4,3,I want to challenge myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,2-3,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,No
7/8/2023 2:32:13,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,70,,3,Between 250 and 300 hours,Full-Time Work,"Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books",No,No,4 months prior,0.5 month prior,No,4,Financial Reporting & Analysis,Derivatives,Portfolio Management,Quantitative Methods,"Do more practice questions, Spend more time on formulas, Practice spaced repetition (flashcards, coming back to topics often)",5,4,3,5,2,3,5,2,"I want to improve my professional marketability, I want to challenge myself, My employer is encouraging me to pursue the CFA exams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Not at all,"Yes, it has moderately helped",5-7,Above 70%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/8/2023 2:51:53,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",64,,60.1,1,Between 200 and 250 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid)",No,No,2 months prior,0.5 month prior,Yes,3,Derivatives,Quantitative Methods,Portfolio Management,Equity Investments,"Finish the curriculum earlier, Spend more time on review, Spend more time on formulas, Start preparing for the exam earlier",5,5,5,4,3,4,1,1,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,3-5,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/8/2023 2:54:29,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",48,,,3,Between 250 and 300 hours,Unemployed,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Other",No,Yes,4 months prior,1.5 months prior,Yes,2,Derivatives,Portfolio Management,Fixed Income,Quantitative Methods,"Do more practice questions, Take more mock exams, Finish the curriculum earlier, Spend more time on review, Start preparing for the exam earlier, Write more notes",5,4,4,4,2,3,2,3,I want to improve my professional marketability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,0,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/8/2023 3:51:01,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related), Post-Work Masters (Non-MBA, MS in Finance)",75,,75,4,Between 400 and 450 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid), UWorld QBank, AnalystForum, 300hours.com",No,No,8 months prior,2.5 months prior,Yes,6,Financial Reporting & Analysis,Quantitative Methods,Derivatives,Portfolio Management,"Spend more time on review, Write fewer notes, Practice spaced repetition (flashcards, coming back to topics often)",5,5,4,3,2,2,3,2,"I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,No,User - I come here to see if there is help,It has had no impact on my career so far,3-5,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 4:17:31,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",70,65,,5,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Videos, AnalystForum, Spaced Repetition (flash cards, Anki, Quizlet)",No,Yes,5 months prior,2 months prior,Yes,6,Derivatives,Financial Reporting & Analysis,Ethics,Fixed Income,I do not believe I could have done anything specific to improve my score,5,5,4,4,2,5,4,3,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,2-3,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 4:57:00,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,,55,3,Between 450 and 500 hours,Unemployed,"CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), AnalystForum, Discord Study Group, Salt Solutions",Yes,Yes,12 months prior (or earlier),2.5 months prior,No,5,Financial Reporting & Analysis,Alternative Investments,Economics,Portfolio Management,I do not believe I could have done anything specific to improve my score,5,3,5,3,2,1,5,5,I want to improve my professional marketability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,0-1,Above 70%,Below 50%,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Below 50%,,,,,,,,,,,
7/8/2023 5:09:06,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",64,,,3,Between 250 and 300 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Books, ChatGPT, Fitch Learning",Yes,Yes,5 months prior,0.5 month prior,Yes,2,Ethics,Financial Reporting & Analysis,Quantitative Methods,Derivatives,"Do more practice questions, Finish the curriculum earlier, Spend more time on review, Start preparing for the exam earlier",4,3,4,2,3,4,2,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,User - I come here to see if there is help,"Yes, it has moderately helped",2-3,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 5:14:32,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related), MBA",78,,76,4,Between 450 and 500 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), AnalystForum, 300hours.com",Yes,Yes,8 months prior,2 months prior,Yes,5,Quantitative Methods,Financial Reporting & Analysis,Ethics,Economics,I do not believe I could have done anything specific to improve my score,5,4,5,4,4,4,4,2,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",1-2,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 5:24:13,Yes,CFP,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",,,,3,Between 300 and 350 hours,Full-Time Work,"CFAI QBank, Mark Meldrum (paid)",No,No,7 months prior,1.5 months prior,Yes,0,Economics,Financial Reporting & Analysis,Quantitative Methods,Derivatives,"Do more practice questions, Take more mock exams, Finish the curriculum earlier, Spend more time on review",5,,4,4,2,4,4,,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",3-5,Between 70% and 50%,Above 70%,Below 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,,,,,,,,,,,
7/8/2023 5:30:22,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,,,5,Between 400 and 450 hours,Full-Time Work,"CFAI QBank, CFAI Physical Books, CFAI PDF Books, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Kaplan Schweser Videos, Mark Meldrum (paid), Spaced Repetition (flash cards, Anki, Quizlet)",No,Yes,6 months prior,1.5 months prior,Yes,0,Financial Reporting & Analysis,Derivatives,Economics,Ethics,"Do more practice questions, Finish the curriculum earlier, Spend more time on review, Write fewer notes, Practice spaced repetition (flashcards, coming back to topics often)",5,1,4,5,3,3,5,3,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,User - I come here to see if there is help,"Yes, it has moderately helped",3-5,Above 70%,Between 70% and 50%,Above 70%,Below 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/8/2023 5:50:55,Yes,FMVA,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",73,,62,4,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",No,No,7 months prior,5 months prior or earlier,Yes,5,Alternative Investments,Derivatives,Fixed Income,Ethics,"Do more practice questions, Take more mock exams, Spend more time on review",5,4,4,5,2,3,1,3,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,No,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",5-7,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,,,,,,,,,,,
7/8/2023 6:07:41,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",,,,3,Between 200 and 250 hours,Full-Time Work,"CFAI QBank, CFAI PDF Books, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Videos, Mark Meldrum (paid)",No,No,3 months prior,0.5 month prior,No,0,Financial Reporting & Analysis,Economics,Corporate Issuers,Derivatives,"Do more practice questions, Take more mock exams, Finish the curriculum earlier, Spend more time on review, Start preparing for the exam earlier",5,3,4,4,2,3,2,2,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Not at all,"Yes, it has moderately helped",2-3,Between 70% and 50%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/8/2023 6:19:21,Yes,"ACMA, CGMA","Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",65,,63,4,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",No,No,3 months prior,1 month prior,No,3,Derivatives,Portfolio Management,Fixed Income,Financial Reporting & Analysis,I do not believe I could have done anything specific to improve my score,5,4,1,1,1,4,3,3,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",3-5,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,,,,,,,,,,,"I had my 1st sitting back in Nov 2022 & failed. Could not find a way to incorporate that data (how long it took to complete the curriculum) into this survey. My May 2023 sitting (pass) involved mostly revisions & working on my weaker areas. 

Regardless, Thank you very much for the survey & all what you do for the community!"
7/8/2023 6:26:21,Yes,CERA,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",75,73,,4,Between 400 and 450 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Kaplan Schweser Videos",No,No,7 months prior,1.5 months prior,Yes,6,Quantitative Methods,Derivatives,Financial Reporting & Analysis,Fixed Income,"Do more practice questions, Spend more time on review, Write more notes",4,3,3,3,3,4,2,3,"I want to improve my professional marketability, I want to challenge myself, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,1-2,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
